date,description,amount,category
2025-07-31,Rent Payment,-1400.0,Fixed Costs
2025-07-31,Walmart,-67.0,Variable Costs
2025-07-31,Restaurant,-17.0,Variable Costs
2025-08-01,Transfer to Savings,-400.0,Savings
2025-08-02,Amazon Prime,-14.99,Fixed Costs
2025-08-02,Student Loan Payment,-150.0,Debt Payment
2025-08-03,Freelance Payment - Client 1,2018.6666666666667,Income
2025-08-03,Clothing Store,-136.0,Variable Costs
2025-08-04,Electric Company,-112.0,Fixed Costs
2025-08-05,Exxon Gas Station,-61.0,Variable Costs
2025-08-05,Restaurant,-55.0,Variable Costs
2025-08-06,Best Buy,-137.0,Variable Costs
2025-08-07,Pizza Delivery,-60.0,Variable Costs
2025-08-07,Whole Foods,-54.0,Variable Costs
2025-08-09,Internet - Comcast,-70.0,Fixed Costs
2025-08-10,Local Bar,-23.0,Variable Costs
2025-08-10,Door Dash,-39.0,Variable Costs
2025-08-11,Phone Bill - Verizon,-85.0,Fixed Costs
2025-08-12,Spotify,-10.99,Fixed Costs
2025-08-12,Freelance Payment - Client 2,6056.0,Income
2025-08-15,Target,-50.0,Variable Costs
2025-08-15,Door Dash,-15.0,Variable Costs
2025-08-21,BP Gas Station,-64.0,Variable Costs
2025-08-21,Amazon,-40.0,Variable Costs
2025-08-22,Pizza Delivery,-57.0,Variable Costs
2025-08-22,Netflix,-15.99,Fixed Costs
2025-08-23,Whole Foods,-81.0,Variable Costs
2025-08-24,Freelance Payment - Client 3,2018.6666666666667,Income
2025-08-26,Starbucks,-32.0,Variable Costs
2025-08-30,Rent Payment,-1400.0,Fixed Costs
2025-08-30,Amazon,-150.0,Variable Costs
2025-08-31,Local Bar,-32.0,Variable Costs
2025-08-31,Amazon Prime,-14.99,Fixed Costs
2025-08-31,Transfer to Savings,-400.0,Savings
2025-09-01,Trader Joes,-75.0,Variable Costs
2025-09-01,Student Loan Payment,-150.0,Debt Payment
2025-09-03,Electric Company,-105.0,Fixed Costs
2025-09-05,Doctor Copay,-127.0,Healthcare
2025-09-05,Safeway,-57.0,Variable Costs
2025-09-07,Exxon Gas Station,-52.0,Variable Costs
2025-09-08,Internet - Comcast,-70.0,Fixed Costs
2025-09-08,Shell Gas Station,-65.0,Variable Costs
2025-09-10,Phone Bill - Verizon,-85.0,Fixed Costs
