date,description,amount,category
2025-07-31,Direct Deposit - Salary,1600.0,Income
2025-07-31,Rent Payment,-1600.0,Fixed Costs
2025-08-02,Walmart,-63.0,Variable Costs
2025-08-02,Credit Card Payment,-350.0,Debt Payment
2025-08-03,Best Buy,-67.0,Variable Costs
2025-08-04,Electric Company,-93.0,Fixed Costs
2025-08-05,Netflix,-15.99,Fixed Costs
2025-08-05,Amazon Prime,-14.99,Fixed Costs
2025-08-07,Restaurant,-46.0,Variable Costs
2025-08-08,Whole Foods,-48.0,Variable Costs
2025-08-09,Internet - Comcast,-70.0,Fixed Costs
2025-08-11,Phone Bill - Verizon,-85.0,Fixed Costs
2025-08-12,Pizza Delivery,-49.0,Variable Costs
2025-08-14,Direct Deposit - Salary,1600.0,Income
2025-08-15,Target,-28.0,Variable Costs
2025-08-20,Whole Foods,-71.0,Variable Costs
2025-08-22,Payday Loan Fee,-35.0,Fixed Costs
2025-08-22,Uber Eats,-45.0,Variable Costs
2025-08-23,BP Gas Station,-55.0,Variable Costs
2025-08-23,Dentist,-60.0,Healthcare
2025-08-25,Exxon Gas Station,-56.0,Variable Costs
2025-08-25,Spotify,-10.99,Fixed Costs
2025-08-27,Uber Eats,-30.0,Variable Costs
2025-08-29,Safeway,-51.0,Variable Costs
2025-08-30,Direct Deposit - Salary,1600.0,Income
2025-08-30,Rent Payment,-1600.0,Fixed Costs
2025-08-30,Local Bar,-56.0,Variable Costs
2025-08-31,Netflix,-15.99,Fixed Costs
2025-09-01,Best Buy,-77.0,Variable Costs
2025-09-01,Credit Card Payment,-350.0,Debt Payment
2025-09-02,Shell Gas Station,-69.0,Variable Costs
2025-09-03,Electric Company,-98.0,Fixed Costs
2025-09-03,Shell Gas Station,-52.0,Variable Costs
2025-09-04,Spotify,-10.99,Fixed Costs
2025-09-07,Target,-35.0,Variable Costs
2025-09-08,Internet - Comcast,-70.0,Fixed Costs
2025-09-10,Phone Bill - Verizon,-85.0,Fixed Costs
2025-09-13,Direct Deposit - Salary,1600.0,Income
2025-09-13,Safeway,-67.0,Variable Costs
2025-09-14,Payday Loan Fee,-35.0,Fixed Costs
2025-09-14,Amazon Prime,-14.99,Fixed Costs
2025-09-19,Pizza Delivery,-36.0,Variable Costs
2025-09-20,Walmart,-31.0,Variable Costs
2025-09-22,Car Repair,-396.0,Variable Costs
2025-09-24,Starbucks,-44.0,Variable Costs
2025-09-25,Pizza Delivery,-50.0,Variable Costs
2025-09-26,Exxon Gas Station,-65.0,Variable Costs
2025-09-29,Rent Payment,-1600.0,Fixed Costs
2025-09-29,Direct Deposit - Salary,1600.0,Income
2025-09-30,Safeway,-40.0,Variable Costs
2025-09-30,BP Gas Station,-42.0,Variable Costs
2025-10-01,BP Gas Station,-57.0,Variable Costs
2025-10-01,Chipotle,-20.0,Variable Costs
2025-10-01,Credit Card Payment,-350.0,Debt Payment
2025-10-02,Local Bar,-20.0,Variable Costs
2025-10-03,Electric Company,-82.0,Fixed Costs
2025-10-03,BP Gas Station,-66.0,Variable Costs
2025-10-03,Shell Gas Station,-69.0,Variable Costs
2025-10-05,Best Buy,-48.0,Variable Costs
2025-10-06,Whole Foods,-38.0,Variable Costs
2025-10-08,Pizza Delivery,-28.0,Variable Costs
2025-10-08,Internet - Comcast,-70.0,Fixed Costs
2025-10-10,Phone Bill - Verizon,-85.0,Fixed Costs
2025-10-12,CVS Pharmacy,-103.0,Healthcare
2025-10-12,Car Repair,-421.0,Variable Costs
2025-10-13,Direct Deposit - Salary,1600.0,Income
2025-10-15,Trader Joes,-67.0,Variable Costs
2025-10-15,Payday Loan Fee,-35.0,Fixed Costs
2025-10-16,Door Dash,-58.0,Variable Costs
2025-10-17,Amazon Prime,-14.99,Fixed Costs
2025-10-18,Netflix,-15.99,Fixed Costs
2025-10-19,Target,-62.0,Variable Costs
2025-10-22,Spotify,-10.99,Fixed Costs
2025-10-28,Walmart,-72.0,Variable Costs
2025-10-29,Direct Deposit - Salary,1600.0,Income
2025-10-29,Shell Gas Station,-59.0,Variable Costs
2025-10-29,Rent Payment,-1600.0,Fixed Costs
2025-10-30,Door Dash,-48.0,Variable Costs
2025-10-31,Shell Gas Station,-52.0,Variable Costs
2025-10-31,Credit Card Payment,-350.0,Debt Payment
2025-11-02,Electric Company,-119.0,Fixed Costs
