date,description,amount,category
2025-07-31,Direct Deposit - Salary,2250.0,Income
2025-07-31,Rent Payment,-1600.0,Fixed Costs
2025-07-31,Clothing Store,-128.0,Variable Costs
2025-08-01,Netflix,-15.99,Fixed Costs
2025-08-01,Transfer to Savings,-200.0,Savings
2025-08-01,Target,-50.0,Variable Costs
2025-08-02,Amazon Prime,-14.99,Fixed Costs
2025-08-02,Student Loan Payment,-300.0,Debt Payment
2025-08-02,Door Dash,-21.0,Variable Costs
2025-08-03,Door Dash,-24.0,Variable Costs
2025-08-04,Electric Company,-106.0,Fixed Costs
2025-08-05,Local Bar,-47.0,Variable Costs
2025-08-06,Pizza Delivery,-24.0,Variable Costs
2025-08-07,Exxon Gas Station,-56.0,Variable Costs
2025-08-07,BP Gas Station,-66.0,Variable Costs
2025-08-08,Walmart,-48.0,Variable Costs
2025-08-09,Pizza Delivery,-17.0,Variable Costs
2025-08-09,Internet - Comcast,-70.0,Fixed Costs
2025-08-10,Restaurant,-30.0,Variable Costs
2025-08-11,Phone Bill - Verizon,-85.0,Fixed Costs
2025-08-12,Local Bar,-26.0,Variable Costs
2025-08-14,Whole Foods,-105.0,Variable Costs
2025-08-14,Direct Deposit - Salary,2250.0,Income
2025-08-19,Uber Eats,-26.0,Variable Costs
2025-08-20,Safeway,-81.0,Variable Costs
2025-08-22,Spotify,-10.99,Fixed Costs
2025-08-24,Best Buy,-73.0,Variable Costs
2025-08-27,Clothing Store,-109.0,Variable Costs
2025-08-30,Rent Payment,-1600.0,Fixed Costs
2025-08-30,Target,-51.0,Variable Costs
2025-08-30,Direct Deposit - Salary,2250.0,Income
2025-08-31,Transfer to Savings,-250.0,Savings
2025-09-01,Student Loan Payment,-300.0,Debt Payment
2025-09-02,Restaurant,-33.0,Variable Costs
2025-09-03,Electric Company,-81.0,Fixed Costs
2025-09-04,Spotify,-10.99,Fixed Costs
2025-09-05,Trader Joes,-62.0,Variable Costs
2025-09-07,Chipotle,-31.0,Variable Costs
2025-09-08,Internet - Comcast,-70.0,Fixed Costs
2025-09-10,Phone Bill - Verizon,-85.0,Fixed Costs
2025-09-10,Best Buy,-81.0,Variable Costs
2025-09-10,Amazon Prime,-14.99,Fixed Costs
2025-09-11,Local Bar,-51.0,Variable Costs
2025-09-11,Pizza Delivery,-48.0,Variable Costs
2025-09-12,Amazon,-112.0,Variable Costs
2025-09-13,Exxon Gas Station,-65.0,Variable Costs
